date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time
2022-11-01,MSR953,MS953,01013D,B77W,PAX,SU-GDO,MSR,MS,Egyptair,HECA,ZSHC,CAI,HGH,2022-11-01 20:00:00.000000 UTC,2022-11-02 06:40:00.000000 UTC
2022-11-01,RAM788H,AT788,02007D,B738,PAX,CN-ROR,RAM,AT,Royal Air Moroc,GMMN,LFPG,CMN,CDG,2022-11-01 12:15:00.000000 UTC,2022-11-01 15:25:00.000000 UTC
2022-11-01,MAC437,3O437,20108,A320,PAX,CN-NMG,MAC,3O,Air Arabia Maroc,GMMN,LTFJ,CMN,SAW,2022-11-01 15:50:00.000000 UTC,2022-11-01 20:30:00.000000 UTC
2022-11-01,ETH827,ET827,04000F,B737,PAX,ET-ALK,ETH,ET,Ethiopian Airlines,HAAB,HTDA,ADD,DAR,2022-11-01 21:10:00.000000 UTC,2022-11-02 00:40:00.000000 UTC
2022-11-01,ETH807,ET807,40086,B737,PAX,ET-ARD,ETH,ET,Ethiopian Airlines,HAAB,HRYR,ADD,KGL,2022-11-01 08:30:00.000000 UTC,2022-11-01 11:00:00.000000 UTC
2022-11-01,ETH714,ET714,04018F,B789,PAX,ET-AXS,ETH,ET,Ethiopian Airlines,HAAB,ESSA,ADD,ARN,2022-11-01 20:40:00.000000 UTC,2022-11-02 04:40:00.000000 UTC
2022-11-01,KQA510,KQ510,04C14A,B738,PAX,5Y-CYD,KQA,KQ,Kenya Airways,HKJK,DGAA,NBO,ACC,2022-11-01 08:30:00.000000 UTC,2022-11-01 14:10:00.000000 UTC
2022-11-01,QTR806,QR806,06A077,B77W,PAX,A7-BAJ,QTR,QR,Qatar Airways,OTHH,RJAA,DOH,NRT,2022-10-31 23:00:00.000000 UTC,2022-11-01 08:55:00.000000 UTC
2022-11-01,QTR265,QR265,06A088,A320,PAX,A7-AHB,QTR,QR,Qatar Airways,OTHH,LCLK,DOH,LCA,2022-11-01 04:40:00.000000 UTC,2022-11-01 09:00:00.000000 UTC
2022-11-01,QTR1463,QR1463,06A08D,A320,PAX,A7-AHD,QTR,QR,Qatar Airways,OTHH,HCMM,DOH,MGQ,2022-11-01 05:30:00.000000 UTC,2022-11-01 10:10:00.000000 UTC
2022-11-01,QTR958,QR958,06A0A5,B788,PAX,A7-BCA,QTR,QR,Qatar Airways,OTHH,WIII,DOH,CGK,2022-11-01 15:40:00.000000 UTC,2022-11-02 00:15:00.000000 UTC
2022-11-01,QTR946,QR946,06A0B6,B788,PAX,A7-BCR,QTR,QR,Qatar Airways,OTHH,WSSS,DOH,SIN,2022-10-31 23:20:00.000000 UTC,2022-11-01 06:55:00.000000 UTC
2022-11-01,DAH6116,AH6116,0A0020,B738,PAX,7T-VJN,DAH,AH,Air Algerie,DAAG,DAON,ALG,TLM,2022-11-01 06:20:00.000000 UTC,2022-11-01 07:25:00.000000 UTC
2022-11-01,BHS212,UP212,0A80A3,B737,PAX,C6-BFY,BHS,UP,Bahamasair,MUHA,MYNN,HAV,NAS,2022-11-01 22:30:00.000000 UTC,2022-11-01 23:45:00.000000 UTC
2022-11-01,VVC8033,VH8033,0AC40E,A320,PAX,HK-5307,VPE,VV,Viva Air Peru,SKRG,SKPS,MDE,PSO,2022-11-01 16:11:00.000000 UTC,2022-11-01 17:32:00.000000 UTC
2022-11-01,EFY9171,VE9171,0AC9AD,AT46,PAX,HK-5349,EFY,VE,Easyfly,SKUC,SKBO,AUC,BOG,2022-11-01 15:20:00.000000 UTC,2022-11-01 17:10:00.000000 UTC
2022-11-01,CMP721,CM721,0C200B,B737,PAX,HP-1377CMP,CMP,CM,Copa Panama,MPTO,MMGL,PTY,GDL,2022-10-31 23:40:00.000000 UTC,2022-11-01 03:55:00.000000 UTC
2022-11-01,CMP323,CM323,0C2010,B737,PAX,HP-1521CMP,CMP,CM,Copa Panama,MPTO,SKCL,PTY,CLO,2022-11-01 02:34:00.000000 UTC,2022-11-01 04:12:00.000000 UTC
