date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time,on_time_percentage,flight_duration,year,month,day,day_of_week,is_weekend,country_code_x,region_name_x,iata_x,icao_x,airport_x,departure_latitude,departure_longitude,country_code_y,region_name_y,iata_y,icao_y,airport_y,arrival_latitude,arrival_longitude
2022-11-01,MSR953,MS953,01013D,B77W,PAX,SU-GDO,MSR,MS,Egyptair,HECA,ZSHC,CAI,HGH,2022-11-01 20:00:00+00:00,2022-11-02 06:40:00+00:00,80.97628251633297,640.0,2022,11,1,1,False,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,CN,Zhejiang,HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434
2021-11-01,MSR953,MS953,01013D,B77W,PAX,SU-GDO,MSR,MS,Egyptair,HECA,ZSHC,CAI,HGH,2022-11-01 20:00:00+00:00,2022-11-02 06:40:00+00:00,83.37647854482353,640.0,2021,11,1,0,False,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,CN,Zhejiang,HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434
2022-11-01,CBJ5172,JD5172,78137A,A20N,PAX,B-1245,CBJ,JD,Beijing Capital Airlines,ZUTF,ZSHC,TFU,HGH,2022-11-01 05:25:00+00:00,2022-11-01 08:05:00+00:00,86.95025123754759,160.0,2022,11,1,1,False,CN,Sichuan,TFU,ZUTF,Chengdu Tianfu International Airport,30.319,104.445,CN,Zhejiang,HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434
2022-04-22,CBJ5172,JD5172,78137A,A20N,PAX,B-1245,CBJ,JD,Beijing Capital Airlines,ZUTF,ZSHC,TFU,HGH,2022-11-01 05:25:00+00:00,2022-11-01 08:05:00+00:00,83.13844722470074,160.0,2022,4,22,4,False,CN,Sichuan,TFU,ZUTF,Chengdu Tianfu International Airport,30.319,104.445,CN,Zhejiang,HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434
2022-11-01,JZR732,J9732,70620B,A320,PAX,9K-CAJ,JZR,J9,Jazeera Airways,HECA,OKBK,CAI,KWI,2022-11-01 11:00:00+00:00,2022-11-01 13:35:00+00:00,76.95030970704927,155.0,2022,11,1,1,False,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
2022-02-21,JZR732,J9732,70620B,A320,PAX,9K-CAJ,JZR,J9,Jazeera Airways,HECA,OKBK,CAI,KWI,2022-11-01 11:00:00+00:00,2022-11-01 13:35:00+00:00,83.48676982697894,155.0,2022,2,21,0,False,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
2022-11-01,KAC354,KU354,706026,A320,PAX,9K-AKF,KAC,KU,Kuwait Airways,VOBL,OKBK,BLR,KWI,2022-11-01 23:25:00+00:00,2022-11-02 05:00:00+00:00,81.90614685516425,335.0,2022,11,1,1,False,IN,Karnataka,BLR,VOBL,Kempegowda International Airport,13.1979,77.7063,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
2022-02-18,KAC354,KU354,706026,A320,PAX,9K-AKF,KAC,KU,Kuwait Airways,VOBL,OKBK,BLR,KWI,2022-11-01 23:25:00+00:00,2022-11-02 05:00:00+00:00,84.48315468907025,335.0,2022,2,18,4,False,IN,Karnataka,BLR,VOBL,Kempegowda International Airport,13.1979,77.7063,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
2022-11-01,KAC784,KU784,70606A,A20N,PAX,9K-AKQ,KAC,KU,Kuwait Airways,OEJN,OKBK,JED,KWI,2022-11-01 00:10:00+00:00,2022-11-01 02:10:00+00:00,95.34908893407821,120.0,2022,11,1,1,False,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
2022-02-20,KAC784,KU784,70606A,A20N,PAX,9K-AKQ,KAC,KU,Kuwait Airways,OEJN,OKBK,JED,KWI,2022-11-01 00:10:00+00:00,2022-11-01 02:10:00+00:00,87.894643143036,120.0,2022,2,20,6,True,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689
